municipality,year,2017,e
Halsnæs,2015,74.8,73.3
Helsingør,2015,74.6,73.3
Hillerød,2015,78.2,77.7
Hørsholm,2015,77.9,77.1
Rudersdal,2015,77.4,77.0
Bornholm,2015,70.1,67.3
Christiansø,2015,80.9,75.5
Greve,2015,78.4,77.2
Køge,2015,76.5,75.1
Lejre,2015,79.1,78.2
Roskilde,2015,76.8,74.5
Solrød,2015,81.5,78.6
Faxe,2015,75.1,73.8
Guldborgsund,2015,68.6,67.1
Holbæk,2015,73.4,72.5
Kalundborg,2015,70.7,69.6
Lolland,2015,63.1,62.2
Næstved,2015,72.8,71.5
Odsherred,2015,69.5,68.1
Ringsted,2015,75.8,74.5
Slagelse,2015,71.1,69.6
Sorø,2015,74.6,73.1
Stevns,2015,76.0,74.6
Vordingborg,2015,69.2,67.3
Assens,2015,72.5,71.5
Faaborg-Midtfyn,2015,72.7,71.1
Kerteminde,2015,72.9,70.6
Langeland,2015,66.2,63.9
Middelfart,2015,76.0,74.3
Nordfyns,2015,73.9,71.6
Nyborg,2015,70.3,68.4
Odense,2015,67.2,65.8
Svendborg,2015,69.1,67.9
Ærø,2015,68.1,65.8
Billund,2015,77.0,75.7
Esbjerg,2015,73.0,71.4
Fanø,2015,74.2,73.0
Fredericia,2015,72.3,70.4
Haderslev,2015,72.7,70.6
Kolding,2015,75.7,73.6
Sønderborg,2015,71.8,69.2
Tønder,2015,72.2,71.2
Varde,2015,77.4,75.8
Vejen,2015,77.0,75.4
Vejle,2015,76.2,74.8
Aabenraa,2015,72.9,70.7
Favrskov,2015,80.3,77.9
Hedensted,2015,79.3,78.2
Horsens,2015,74.0,72.0
Norddjurs,2015,71.1,69.4
Odder,2015,76.2,74.3
Randers,2015,72.9,71.3
Samsø,2015,72.5,71.4
Silkeborg,2015,76.7,75.0
Skanderborg,2015,79.9,78.2
Syddjurs,2015,74.9,73.0
Aarhus,2015,69.9,68.4
Herning,2015,75.9,74.2
Holstebro,2015,76.9,75.3
Ikast-Brande,2015,75.3,74.0
Lemvig,2015,75.7,74.7
Ringkøbing-Skjern,2015,77.1,75.5
Skive,2015,74.5,72.8
Struer,2015,72.8,70.9
Viborg,2015,75.4,73.8
Brønderslev,2015,73.7,72.0
Frederikshavn,2015,71.6,70.4
Hjørring,2015,72.7,71.0
Jammerbugt,2015,73.6,71.8
Læsø,2015,72.0,67.4
Mariagerfjord,2015,73.9,72.3
Morsø,2015,73.0,70.9
Rebild,2015,79.4,78.0
Thisted,2015,74.5,72.1
Vesthimmerlands,2015,73.9,72.1
Aalborg,2015,69.9,68.5
Copenhagen,2016,72.2,71.5
Frederiksberg,2016,75.6,74.7
Dragør,2016,80.4,79.2
Tårnby,2016,77.6,77.4
Albertslund,2016,70.2,68.8
Ballerup,2016,74.5,73.6
Brøndby,2016,69.4,69.1
Gentofte,2016,76.1,75.2
Gladsaxe,2016,75.3,74.3
Glostrup,2016,76.0,75.5
Herlev,2016,75.4,74.7
Hvidovre,2016,74.8,74.6
Høje-Taastrup,2016,73.5,72.8
Ishøj,2016,70.3,69.4
Lyngby-Taarbæk,2016,75.7,75.7
Rødovre,2016,75.1,74.8
Vallensbæk,2016,79.7,79.5
Allerød,2016,82.2,81.8
Egedal,2016,82.2,81.4
